text_clean,sentiment,sentiment_
surat rekom petinggi ganyantumin pangkat golong,0.0,0
lupa terima total daftar,0.0,0
kemarin isi yogyakarta domisili,0.0,0
gim nih lupa correct beasiswa lupa kk solusi ap,0.0,0
sedih masuk angkat,-33.333333333333336,-1
nabila masukin,0.0,0
iya provinsi domisil isi domisili nama grup tele aapa,0.0,0
izin organisasi surat terang aktif organisasi sertifikat sertifikat panitia organisasi taro sertifikat,8.333333333333334,1
izin bertnya data d isi d ulang,-14.285714285714286,-1
sr kolektif poin hapus kampus submit,0.0,0
upload sertifsertif upload ulang,-25.0,-1
kuota mahasiswa kemarin kuota terima,20.0,1
alam organisasi pakai surat terang aktif organisasi terima kasih,33.333333333333336,1
wkwkwkw,0.0,0
bismillahirrahmanirrahim,0.0,0
stars,0.0,0
tolong,0.0,0
admin,0.0,0
sptjm ikan kop institusi surat,0.0,0
hallo admin isi nominal sptjm terima kipk semester,12.5,1
mahasiswa beasiswa kip bgaimana,0.0,0
daftar smngt,0.0,0
daftar kampus ajar uji tes seleksi,0.0,0
bukti bpjs foto kartu,0.0,0
suda lolos d angkat alih angkat,0.0,0
daftar wkwkw salah video dafa,-20.0,-1
owhhjadi univ,0.0,0
univnya ka univnya kirim langsung,0.0,0
amiinn terimakasih doa,0.0,0
poin lanjur hapus coret daftar tindak kk,0.0,0
maaf kakak taut sr sptjm taut,-16.666666666666668,-1
semogaaa lolos kaaa tunggu kabar kaaa,0.0,0
ketemu kakak lagibaik terima kasih informasi kaksaya hasil kirim daftar,20.0,1
kakk gabisaa upload yaa ukur jenis file sesuai,12.5,1
terimakasih,0.0,0
dyla dukung ko,33.333333333333336,1
hmm moga kun fayakun tawakaltu ala allah,0.0,0
dyla gapapaaa,0.0,0
ho situ opsional brrti isi ka,0.0,0
dyla nyantuminnya surat putus anggota organisasi kaaa,-14.285714285714286,-1
kaaa,0.0,0
risiko ka,-50.0,-1
cv tulis individu si kaaa emang kaka nyantumin cv kemarin isi tugas tugas kuliah manuskrip kooo,0.0,0
sertifikat organisasi,0.0,0
dyla kemarin nyantumin sk organisasi dokumentasi abdi masyarakat cek sehat alhamdulillah lolos ka,7.6923076923076925,1
mm sertifikat organisasi alam ajar,0.0,0
rahimaaa terang nyata sehat,50.0,1
kaaa saing banget semangat yaa ka jalan ko salam,11.11111111111111,1
